id,A,B,length,freespeed,capacity
1,13,1013,100,30.000,10000
2,14,1014,100,30.000,10000
3,15,1015,100,30.000,10000
4,16,1016,100,30.000,10000
5,17,1017,100,30.000,10000
6,18,1018,100,30.000,10000
7,19,1019,100,30.000,10000
8,20,1020,100,30.000,10000
9,21,1021,100,30.000,10000
10,22,1022,100,30.000,10000
11,23,1023,100,30.000,10000
12,24,1024,100,30.000,10000
13,25,1025,100,30.000,10000
14,26,1026,100,30.000,10000
15,27,1027,100,30.000,10000
16,28,1028,100,30.000,10000
17,29,1029,100,30.000,10000
18,30,1030,100,30.000,10000
19,31,1031,100,30.000,10000
20,32,1032,100,30.000,10000
21,33,1033,100,30.000,10000
22,34,1034,100,30.000,10000
23,35,1035,100,30.000,10000
24,36,1036,100,30.000,10000
25,37,1037,100,30.000,10000
26,38,1038,100,30.000,10000
27,39,1039,100,30.000,10000
28,40,1040,100,30.000,10000
29,41,1041,100,30.000,10000
30,42,1042,100,30.000,10000
31,43,1043,100,30.000,10000
32,44,1044,100,30.000,10000
33,45,1045,100,30.000,10000
34,46,1046,100,30.000,10000
35,47,1047,100,30.000,10000
36,48,1048,100,30.000,10000
37,49,1049,100,30.000,10000
38,50,1050,100,30.000,10000
39,51,1051,100,30.000,10000
40,52,1052,100,30.000,10000
41,53,1053,100,30.000,10000
42,54,1054,100,30.000,10000
43,55,1055,100,30.000,10000
44,56,1056,100,30.000,10000
45,57,1057,100,30.000,10000
46,58,1058,100,30.000,10000
47,59,1059,100,30.000,10000
48,60,1060,100,30.000,10000
49,61,1061,100,30.000,10000
50,62,1062,100,30.000,10000
51,63,1063,100,30.000,10000
52,64,1064,100,30.000,10000
53,65,1065,100,30.000,10000
54,66,1066,100,30.000,10000
55,67,1067,100,30.000,10000
56,68,1068,100,30.000,10000
57,69,1069,100,30.000,10000
58,70,1070,100,30.000,10000
59,71,1071,100,30.000,10000
60,72,1072,100,30.000,10000
61,73,1073,100,30.000,10000
62,74,1074,100,30.000,10000
63,75,1075,100,30.000,10000
64,76,1076,100,30.000,10000
65,77,1077,100,30.000,10000
66,78,1078,100,30.000,10000
67,79,1079,100,30.000,10000
68,80,1080,100,30.000,10000
69,81,1081,100,30.000,10000
70,82,1082,100,30.000,10000
71,83,1083,100,30.000,10000
72,84,1084,100,30.000,10000
73,85,1085,100,30.000,10000
74,86,1086,100,30.000,10000
75,87,1087,100,30.000,10000
76,88,1088,100,30.000,10000
77,89,1089,100,30.000,10000
78,90,1090,100,30.000,10000
79,91,1091,100,30.000,10000
80,92,1092,100,30.000,10000
81,93,1093,100,30.000,10000
82,94,1094,100,30.000,10000
83,95,1095,100,30.000,10000
84,96,1096,100,30.000,10000
85,97,1097,100,30.000,10000
86,98,1098,100,30.000,10000
87,99,1099,100,30.000,10000
88,100,1100,100,30.000,10000
89,101,1101,100,30.000,10000
90,102,1102,100,30.000,10000
91,103,1103,100,30.000,10000
92,104,1104,100,30.000,10000
93,105,1105,100,30.000,10000
94,106,1106,100,30.000,10000
95,107,1107,100,30.000,10000
96,108,1108,100,30.000,10000
97,109,1109,100,30.000,10000
98,110,1110,100,30.000,10000
99,111,1111,100,30.000,10000
100,112,1112,100,30.000,10000
101,113,1113,100,30.000,10000
102,114,1114,100,30.000,10000
103,115,1115,100,30.000,10000
104,116,1116,100,30.000,10000
105,117,1117,100,30.000,10000
106,118,1118,100,30.000,10000
107,119,1119,100,30.000,10000
108,120,1120,100,30.000,10000
109,121,1121,100,30.000,10000
110,122,1122,100,30.000,10000
111,123,1123,100,30.000,10000
112,124,1124,100,30.000,10000
113,125,1125,100,30.000,10000
114,126,1126,100,30.000,10000
115,127,1127,100,30.000,10000
116,128,1128,100,30.000,10000
117,129,1129,100,30.000,10000
118,130,1130,100,30.000,10000
119,131,1131,100,30.000,10000
120,132,1132,100,30.000,10000
121,133,1133,100,30.000,10000
122,134,1134,100,30.000,10000
123,135,1135,100,30.000,10000
124,136,1136,100,30.000,10000
125,137,1137,100,30.000,10000
126,138,1138,100,30.000,10000
127,139,1139,100,30.000,10000
128,140,1140,100,30.000,10000
129,141,1141,100,30.000,10000
130,142,1142,100,30.000,10000
131,143,1143,100,30.000,10000
132,144,1144,100,30.000,10000
133,145,1145,100,30.000,10000
134,146,1146,100,30.000,10000
135,147,1147,100,30.000,10000
136,148,1148,100,30.000,10000
137,149,1149,100,30.000,10000
138,150,1150,100,30.000,10000
139,151,1151,100,30.000,10000
140,152,1152,100,30.000,10000
141,153,1153,100,30.000,10000
142,154,1154,100,30.000,10000
143,155,1155,100,30.000,10000
144,156,1156,100,30.000,10000
145,157,1157,100,30.000,10000
146,158,1158,100,30.000,10000
147,159,1159,100,30.000,10000
148,160,1160,100,30.000,10000
149,161,1161,100,30.000,10000
150,162,1162,100,30.000,10000
151,163,1163,100,30.000,10000
152,164,1164,100,30.000,10000
153,165,1165,100,30.000,10000
154,166,1166,100,30.000,10000
155,167,1167,100,30.000,10000
156,200,1013,100,30.000,10000
157,201,1014,100,30.000,10000
158,1001,1,100,30.000,10000
159,1002,2,100,30.000,10000
160,1003,3,100,30.000,10000
161,1004,4,100,30.000,10000
162,1005,5,100,30.000,10000
