N,X,Y
1,2311097.59259,5089533.52778
2,2311003.66821,5090470.05478
3,2310642.71914,5085010.40895
4,2310933.51461,5085130.21029
5,2311676.47439,5085713.26141
6,2310890.30383,5083655.11302
7,2310608.56481,5084091.25403
8,2309914.61111,5084874.17978
9,2308573.08372,5083465.60513
10,2310115.07369,5083978.50212
11,2309562.39468,5084381.95004
12,2309471.57523,5083965.11208
13,2310401.25000,5084847.50000
14,2310340.00000,5084972.00000
15,2310168.25000,5084923.00000
16,2310125.75000,5084979.50000
17,2310291.75000,5085034.00000
18,2310502.25000,5085253.50000
19,2310493.00000,5085098.00000
20,2310444.75000,5085039.00000
21,2309982.75000,5084643.00000
22,2309926.00000,5084555.50000
23,2310339.75000,5084827.00000
24,2310037.25000,5084817.50000
25,2310500.25000,5084895.00000
26,2310403.75000,5084669.50000
27,2310381.25000,5084737.50000
28,2310490.50000,5084380.50000
29,2310250.50000,5084317.00000
30,2309998.50000,5084256.50000
31,2310331.00000,5084005.00000
32,2309989.75000,5083945.00000
33,2310728.50000,5084643.50000
34,2310722.25000,5084845.00000
35,2311013.75000,5084875.50000
36,2310832.25000,5084739.00000
37,2310730.50000,5084535.50000
38,2310916.75000,5084625.50000
39,2310997.00000,5084528.50000
40,2310735.75000,5084136.00000
41,2310808.25000,5083738.50000
42,2311030.00000,5084089.50000
43,2310743.00000,5084021.50000
44,2311473.50000,5084248.00000
45,2311161.50000,5084725.50000
46,2311687.50000,5084663.00000
47,2311435.75000,5084365.50000
48,2311481.50000,5083734.00000
49,2311556.25000,5083581.50000
50,2310889.50000,5083445.50000
51,2310032.50000,5083766.50000
52,2310149.50000,5083449.50000
53,2310394.00000,5083836.00000
54,2310384.00000,5083485.50000
55,2309200.00000,5083773.50000
56,2309565.50000,5083833.00000
57,2309198.75000,5083818.00000
58,2309634.75000,5084017.50000
59,2309533.50000,5084150.00000
60,2309804.75000,5083836.00000
61,2309563.50000,5084182.00000
62,2309590.25000,5084205.50000
63,2309804.75000,5084433.50000
64,2309769.50000,5084467.00000
65,2309852.25000,5084619.50000
66,2309802.00000,5084667.50000
67,2309925.50000,5084808.50000
68,2309915.75000,5084946.50000
69,2309789.75000,5085089.00000
70,2309752.00000,5085077.50000
71,2309597.75000,5085035.00000
72,2309717.75000,5084789.00000
73,2309493.00000,5084596.00000
74,2309653.50000,5084385.00000
75,2309252.25000,5084393.50000
76,2309460.00000,5084215.50000
77,2309368.50000,5084236.50000
78,2309070.25000,5084171.50000
79,2308865.50000,5084166.00000
80,2309007.75000,5083958.50000
81,2308691.00000,5083916.00000
82,2308351.00000,5083705.00000
83,2308237.25000,5083541.00000
84,2308038.50000,5083156.50000
85,2308147.25000,5083152.00000
86,2308544.75000,5083143.50000
87,2308466.00000,5083455.50000
88,2308978.75000,5083786.50000
89,2309007.25000,5083672.00000
90,2309019.50000,5083635.00000
91,2308798.50000,5083552.50000
92,2308619.00000,5083400.50000
93,2308671.25000,5083599.50000
94,2308322.25000,5083313.00000
95,2308387.00000,5083488.00000
96,2308448.50000,5083682.50000
97,2307842.00000,5085121.00000
98,2307747.50000,5083239.50000
99,2307832.75000,5082821.00000
100,2309383.00000,5082820.50000
101,2309445.50000,5083309.00000
102,2310388.50000,5082790.50000
103,2312167.25000,5085030.00000
104,2312470.75000,5081983.50000
105,2310729.00000,5084577.50000
106,2310795.25000,5084883.00000
107,2310847.00000,5084923.50000
108,2310961.50000,5084671.50000
109,2311019.75000,5084726.00000
110,2310732.75000,5084367.50000
111,2307684.25000,5086941.50000
112,2307763.50000,5087207.50000
113,2309061.75000,5086528.50000
114,2309461.25000,5086875.00000
115,2309840.75000,5085637.00000
116,2309863.50000,5085615.50000
117,2310156.25000,5085611.50000
118,2310262.00000,5085084.00000
119,2310131.50000,5086154.00000
120,2309927.50000,5086385.50000
121,2310250.25000,5085941.00000
122,2310363.75000,5085708.00000
123,2310590.00000,5086237.00000
124,2310643.75000,5085997.50000
125,2310553.25000,5085619.50000
126,2310756.50000,5085691.00000
127,2310876.25000,5085721.00000
128,2310662.25000,5085383.50000
129,2310797.50000,5085457.50000
130,2310913.50000,5085520.50000
131,2310677.75000,5085108.50000
132,2310820.25000,5085109.00000
133,2310887.00000,5085251.50000
134,2310946.00000,5085285.50000
135,2311054.50000,5085339.00000
136,2311150.75000,5085389.00000
137,2311236.00000,5085438.00000
138,2311186.25000,5085606.50000
139,2311539.50000,5085624.00000
140,2311811.00000,5085746.00000
141,2312074.50000,5085449.50000
142,2312334.25000,5086018.50000
143,2311279.25000,5084980.50000
144,2311261.75000,5084745.00000
145,2311911.25000,5085318.50000
146,2310668.25000,5086786.00000
147,2310174.75000,5088568.50000
148,2311008.25000,5089208.00000
149,2311289.25000,5088581.00000
150,2310325.25000,5090141.00000
151,2312257.50000,5088495.00000
152,2312279.00000,5089308.50000
153,2311429.75000,5089918.00000
154,2311648.50000,5090179.00000
155,2312364.75000,5090029.00000
156,2311273.50000,5090644.00000
157,2311012.50000,5090657.50000
158,2312555.25000,5091703.00000
159,2310558.75000,5084726.00000
160,2307637.25000,5083276.50000
