A,B,demand,XA,YA,XB,YB
13,8,31,2310401.2500,5084847.5000,2309914.6111,5084874.1798
14,8,31,2310340.0000,5084972.0000,2309914.6111,5084874.1798
15,8,74,2310168.2500,5084923.0000,2309914.6111,5084874.1798
16,8,61,2310125.7500,5084979.5000,2309914.6111,5084874.1798
18,3,40,2310502.2500,5085253.5000,2310642.7191,5085010.4090
19,3,40,2310493.0000,5085098.0000,2310642.7191,5085010.4090
20,8,31,2310444.7500,5085039.0000,2309914.6111,5084874.1798
22,11,74,2309926.0000,5084555.5000,2309562.3947,5084381.9500
23,3,74,2310339.7500,5084827.0000,2310642.7191,5085010.4090
24,8,61,2310037.2500,5084817.5000,2309914.6111,5084874.1798
25,3,31,2310500.2500,5084895.0000,2310642.7191,5085010.4090
28,3,79,2310490.5000,5084380.5000,2310642.7191,5085010.4090
28,6,53,2310490.5000,5084380.5000,2310890.3038,5083655.1130
28,7,108,2310490.5000,5084380.5000,2310608.5648,5084091.2540
30,10,168,2309998.5000,5084256.5000,2310115.0737,5083978.5021
31,10,90,2310331.0000,5084005.0000,2310115.0737,5083978.5021
32,10,222,2309989.7500,5083945.0000,2310115.0737,5083978.5021
33,3,18,2310728.5000,5084643.5000,2310642.7191,5085010.4090
34,3,18,2310722.2500,5084845.0000,2310642.7191,5085010.4090
35,4,168,2311013.7500,5084875.5000,2310933.5146,5085130.2103
36,3,89,2310832.2500,5084739.0000,2310642.7191,5085010.4090
37,7,65,2310730.5000,5084535.5000,2310608.5648,5084091.2540
38,7,37,2310916.7500,5084625.5000,2310608.5648,5084091.2540
39,7,3,2310997.0000,5084528.5000,2310608.5648,5084091.2540
40,7,69,2310735.7500,5084136.0000,2310608.5648,5084091.2540
41,6,137,2310808.2500,5083738.5000,2310890.3038,5083655.1130
42,7,18,2311030.0000,5084089.5000,2310608.5648,5084091.2540
43,7,84,2310743.0000,5084021.5000,2310608.5648,5084091.2540
44,6,18,2311473.5000,5084248.0000,2310890.3038,5083655.1130
45,7,33,2311161.5000,5084725.5000,2310608.5648,5084091.2540
46,6,33,2311687.5000,5084663.0000,2310890.3038,5083655.1130
47,6,33,2311435.7500,5084365.5000,2310890.3038,5083655.1130
48,6,105,2311481.5000,5083734.0000,2310890.3038,5083655.1130
49,6,18,2311556.2500,5083581.5000,2310890.3038,5083655.1130
50,6,156,2310889.5000,5083445.5000,2310890.3038,5083655.1130
51,7,100,2310032.5000,5083766.5000,2310608.5648,5084091.2540
54,6,90,2310384.0000,5083485.5000,2310890.3038,5083655.1130
57,11,79,2309198.7500,5083818.0000,2309562.3947,5084381.9500
59,11,69,2309533.5000,5084150.0000,2309562.3947,5084381.9500
60,7,80,2309804.7500,5083836.0000,2310608.5648,5084091.2540
61,11,15,2309563.5000,5084182.0000,2309562.3947,5084381.9500
62,11,69,2309590.2500,5084205.5000,2309562.3947,5084381.9500
63,11,69,2309804.7500,5084433.5000,2309562.3947,5084381.9500
64,11,25,2309769.5000,5084467.0000,2309562.3947,5084381.9500
65,11,25,2309852.2500,5084619.5000,2309562.3947,5084381.9500
66,8,61,2309802.0000,5084667.5000,2309914.6111,5084874.1798
67,8,27,2309925.5000,5084808.5000,2309914.6111,5084874.1798
68,8,88,2309915.7500,5084946.5000,2309914.6111,5084874.1798
69,8,54,2309789.7500,5085089.0000,2309914.6111,5084874.1798
70,8,27,2309752.0000,5085077.5000,2309914.6111,5084874.1798
71,8,46,2309597.7500,5085035.0000,2309914.6111,5084874.1798
72,11,62,2309717.7500,5084789.0000,2309562.3947,5084381.9500
73,11,62,2309493.0000,5084596.0000,2309562.3947,5084381.9500
74,11,25,2309653.5000,5084385.0000,2309562.3947,5084381.9500
75,11,62,2309252.2500,5084393.5000,2309562.3947,5084381.9500
76,11,25,2309460.0000,5084215.5000,2309562.3947,5084381.9500
77,11,15,2309368.5000,5084236.5000,2309562.3947,5084381.9500
78,11,15,2309070.2500,5084171.5000,2309562.3947,5084381.9500
79,11,76,2308865.5000,5084166.0000,2309562.3947,5084381.9500
80,11,15,2309007.7500,5083958.5000,2309562.3947,5084381.9500
87,9,58,2308466.0000,5083455.5000,2308573.0837,5083465.6051
92,9,58,2308619.0000,5083400.5000,2308573.0837,5083465.6051
93,9,76,2308671.2500,5083599.5000,2308573.0837,5083465.6051
94,9,113,2308322.2500,5083313.0000,2308573.0837,5083465.6051
95,9,55,2308387.0000,5083488.0000,2308573.0837,5083465.6051
96,9,6,2308448.5000,5083682.5000,2308573.0837,5083465.6051
97,11,82,2307842.0000,5085121.0000,2309562.3947,5084381.9500
103,6,9,2312167.2500,5085030.0000,2310890.3038,5083655.1130
103,7,25,2312167.2500,5085030.0000,2310608.5648,5084091.2540
104,6,18,2312470.7500,5081983.5000,2310890.3038,5083655.1130
105,7,37,2310729.0000,5084577.5000,2310608.5648,5084091.2540
106,3,18,2310795.2500,5084883.0000,2310642.7191,5085010.4090
107,3,18,2310847.0000,5084923.5000,2310642.7191,5085010.4090
108,7,51,2310961.5000,5084671.5000,2310608.5648,5084091.2540
109,7,51,2311019.7500,5084726.0000,2310608.5648,5084091.2540
110,7,65,2310732.7500,5084367.5000,2310608.5648,5084091.2540
111,8,25,2307684.2500,5086941.5000,2309914.6111,5084874.1798
111,11,62,2307684.2500,5086941.5000,2309562.3947,5084381.9500
112,8,23,2307763.5000,5087207.5000,2309914.6111,5084874.1798
113,8,23,2309061.7500,5086528.5000,2309914.6111,5084874.1798
114,1,79,2309461.2500,5086875.0000,2311097.5926,5089533.5278
